dongsi_aq,39.929,116.417
tiantan_aq,39.886,116.407
guanyuan_aq,39.929,116.339
wanshouxigong_aq,39.878,116.352
aotizhongxin_aq,39.982,116.397
nongzhanguan_aq,39.937,116.461
wanliu_aq,39.987,116.287
beibuxinqu_aq,40.09,116.174
zhiwuyuan_aq,40.002,116.207
fengtaihuayuan_aq,39.863,116.279
yungang_aq,39.824,116.146
gucheng_aq,39.914,116.184
fangshan_aq,39.742,116.136
daxing_aq,39.718,116.404
yizhuang_aq,39.795,116.506
tongzhou_aq,39.886,116.663
shunyi_aq,40.127,116.655
pingchang_aq,40.217,116.23
mentougou_aq,39.937,116.106
pinggu_aq,40.143,117.1
huairou_aq,40.328,116.628
miyun_aq,40.37,116.832
yanqin_aq,40.453,115.972
dingling_aq,40.292,116.22
badaling_aq,40.365,115.988
miyunshuiku_aq,40.499,116.911
donggaocun_aq,40.1,117.12
yongledian_aq,39.712,116.783
yufa_aq,39.52,116.3
liulihe_aq,39.58,116
qianmen_aq,39.899,116.395
yongdingmennei_aq,39.876,116.394
xizhimenbei_aq,39.954,116.349
nansanhuan_aq,39.856,116.368
dongsihuan_aq,39.939,116.483
BX9,51.46598327,0.184877127
BX1,51.46598327,0.184877127
BL0,51.522287,-0.125848
CD9,51.52770662,-0.129053205
CD1,51.544219,-0.175284
CT2,51.51452534,-0.104515626
CT3,51.51384718,-0.077765682
CR8,51.410039,-0.127523
GN0,51.490532,0.074003
GR4,51.45258,0.070766
GN3,51.486957,0.095111
GR9,51.456357,0.040725
GB0,51.4563,0.085606
HR1,51.617327,-0.298775
HV1,51.52078746,0.205460706
LH0,51.48878,-0.441627
KC1,51.52104675,-0.21349214
KF1,51.52104675,-0.21349214
LW2,51.474954,-0.039641
RB7,51.56948433,0.082907475
TD5,51.42525604,-0.345608291
ST5,51.3892869,-0.141661525
TH4,51.51504617,-0.008418493
MY7,51.52254,-0.15459
