,stationId,date,temperature,pressure,humidity,weather,weather_code,weather_desc,weather_cloud,weather_rain,wind_speed,wind_direction
0,dongsi_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,tiantan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,guanyuan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,wanshouxigong_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,aotizhongxin_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,nongzhanguan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,wanliu_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,beibuxinqu_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,zhiwuyuan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,fengtaihuayuan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,yungang_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,gucheng_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,fangshan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,daxing_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,yizhuang_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,tongzhou_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,shunyi_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,pingchang_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,mentougou_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,pinggu_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,huairou_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,miyun_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,yanqin_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,dingling_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,badaling_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,miyunshuiku_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,donggaocun_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,yongledian_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,yufa_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,liulihe_aq,2018-04-19 22:22:17,24.02800000000002,988.92,46,Clear,800,clear sky,0,0,4.12,178.501
0,qianmen_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,yongdingmennei_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,xizhimenbei_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,nansanhuan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,dongsihuan_aq,2018-04-19 21:30:00,23.0,1010.0,53,Clear,800,clear sky,0,0,4.0,140.0
0,BX9,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,BX1,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,BL0,2018-04-19 21:50:00,26.450000000000045,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,CD9,2018-04-19 21:50:00,26.450000000000045,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,CD1,2018-04-19 21:50:00,26.450000000000045,1022.0,28,Clear,800,clear sky,0,0,2.6,220.0
0,CT2,2018-04-19 21:50:00,26.390000000000043,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,CT3,2018-04-19 21:50:00,26.390000000000043,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,CR8,2018-04-19 21:50:00,26.180000000000007,1024.0,31,Clear,800,clear sky,0,0,3.1,190.0
0,GN0,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,GR4,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,GN3,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,GR9,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,GB0,2018-04-19 21:50:00,26.629999999999995,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
0,HR1,2018-04-19 21:50:00,26.450000000000045,1022.0,28,Clear,800,clear sky,0,0,2.6,220.0
0,HV1,2018-04-19 21:50:00,26.57000000000005,1023.0,34,Clear,800,clear sky,0,0,4.1,70.0
