"","stationId","day","PM2.5","PM10","O3","test_id"
"1","dongsi_aq","0",27.9374694824219,0,0,"dongsi_aq#0"
"2","dongsi_aq","1",22.8210983276367,0,0,"dongsi_aq#1"
"3","dongsi_aq","2",40.4220428466797,0,0,"dongsi_aq#2"
"4","dongsi_aq","3",63.1575241088867,0,0,"dongsi_aq#3"
"5","dongsi_aq","4",53.495532989502,0,0,"dongsi_aq#4"
"6","dongsi_aq","5",80.5519027709961,0,0,"dongsi_aq#5"
"7","dongsi_aq","6",34.9858055114746,0,0,"dongsi_aq#6"
"8","dongsi_aq","7",100.016258239746,0,0,"dongsi_aq#7"
"9","dongsi_aq","8",65.4511871337891,0,0,"dongsi_aq#8"
"10","dongsi_aq","9",77.7010116577148,0,0,"dongsi_aq#9"
"11","dongsi_aq","10",99.2617492675781,0,0,"dongsi_aq#10"
"12","dongsi_aq","11",73.6800994873047,0,0,"dongsi_aq#11"
"13","dongsi_aq","12",91.0876312255859,0,0,"dongsi_aq#12"
"14","dongsi_aq","13",69.8887023925781,0,0,"dongsi_aq#13"
"15","dongsi_aq","14",108.621452331543,0,0,"dongsi_aq#14"
"16","dongsi_aq","15",194.967147827148,0,0,"dongsi_aq#15"
"17","dongsi_aq","16",65.6696853637695,0,0,"dongsi_aq#16"
"18","dongsi_aq","17",94.8625411987305,0,0,"dongsi_aq#17"
"19","dongsi_aq","18",56.7389068603516,0,0,"dongsi_aq#18"
"20","dongsi_aq","19",56.7231979370117,0,0,"dongsi_aq#19"
"21","dongsi_aq","20",36.7022857666016,0,0,"dongsi_aq#20"
"22","dongsi_aq","21",-14.5279474258423,0,0,"dongsi_aq#21"
"23","dongsi_aq","22",12.6524314880371,0,0,"dongsi_aq#22"
"24","dongsi_aq","23",33.6493530273438,0,0,"dongsi_aq#23"
"25","dongsi_aq","24",-16.0040378570557,0,0,"dongsi_aq#24"
"26","dongsi_aq","25",89.1210479736328,0,0,"dongsi_aq#25"
"27","dongsi_aq","26",34.2220878601074,0,0,"dongsi_aq#26"
"28","dongsi_aq","27",73.5582809448242,0,0,"dongsi_aq#27"
"29","dongsi_aq","28",98.0149002075195,0,0,"dongsi_aq#28"
"30","dongsi_aq","29",113.957015991211,0,0,"dongsi_aq#29"
"31","dongsi_aq","30",86.9595947265625,0,0,"dongsi_aq#30"
"32","dongsi_aq","31",99.6583480834961,0,0,"dongsi_aq#31"
"33","dongsi_aq","32",140.826217651367,0,0,"dongsi_aq#32"
"34","dongsi_aq","33",125.603973388672,0,0,"dongsi_aq#33"
"35","dongsi_aq","34",146.85432434082,0,0,"dongsi_aq#34"
"36","dongsi_aq","35",134.704971313477,0,0,"dongsi_aq#35"
"37","dongsi_aq","36",116.881248474121,0,0,"dongsi_aq#36"
"38","dongsi_aq","37",110.30241394043,0,0,"dongsi_aq#37"
"39","dongsi_aq","38",93.3079986572266,0,0,"dongsi_aq#38"
"40","dongsi_aq","39",323.267425537109,0,0,"dongsi_aq#39"
"41","dongsi_aq","40",403.61572265625,0,0,"dongsi_aq#40"
"42","dongsi_aq","41",390.467803955078,0,0,"dongsi_aq#41"
