"test_id","PM2.5","PM10","O3"
"dongsi_aq#0",0,0,0
"dongsi_aq#1",102.755035400391,0,0
"dongsi_aq#2",14.449013710022,0,0
"dongsi_aq#3",82.308235168457,0,0
"dongsi_aq#4",92.7830352783203,0,0
"dongsi_aq#5",83.3960800170898,0,0
"dongsi_aq#6",98.6119155883789,0,0
"dongsi_aq#7",120.530265808105,0,0
"dongsi_aq#8",114.121315002441,0,0
"dongsi_aq#9",144.579605102539,0,0
"dongsi_aq#10",177.229400634766,0,0
"dongsi_aq#11",106.497482299805,0,0
"dongsi_aq#12",73.0037841796875,0,0
"dongsi_aq#13",104.962219238281,0,0
"dongsi_aq#14",97.5647048950195,0,0
"dongsi_aq#15",279.869201660156,0,0
"dongsi_aq#16",438.99755859375,0,0
"dongsi_aq#17",393.879028320312,0,0
"dongsi_aq#18",201.622299194336,0,0
"dongsi_aq#19",353.624267578125,0,0
"dongsi_aq#20",183.055145263672,0,0
"dongsi_aq#21",153.410079956055,0,0
"dongsi_aq#22",96.0654144287109,0,0
"dongsi_aq#23",26.7594356536865,0,0
"dongsi_aq#24",98.3520660400391,0,0
"dongsi_aq#25",171.881896972656,0,0
"dongsi_aq#26",400.68359375,0,0
"dongsi_aq#27",334.01318359375,0,0
"dongsi_aq#28",381.413848876953,0,0
"dongsi_aq#29",265.561279296875,0,0
"dongsi_aq#30",94.8244247436523,0,0
"dongsi_aq#31",123.567070007324,0,0
"dongsi_aq#32",83.9219589233398,0,0
"dongsi_aq#33",99.2377624511719,0,0
"dongsi_aq#34",132.677062988281,0,0
"dongsi_aq#35",64.7332229614258,0,0
"dongsi_aq#36",52.5194320678711,0,0
"dongsi_aq#37",60.9095497131348,0,0
"dongsi_aq#38",242.425064086914,0,0
"dongsi_aq#39",39.7764511108398,0,0
"dongsi_aq#40",53.8572158813477,0,0
"dongsi_aq#41",44.4533653259277,0,0
"dongsi_aq#42",52.7060928344727,0,0
"dongsi_aq#43",47.5533103942871,0,0
"dongsi_aq#44",102.687911987305,0,0
"dongsi_aq#45",102.308372497559,0,0
"dongsi_aq#46",71.1972961425781,0,0
"dongsi_aq#47",82.2550048828125,0,0
"tiantan_aq#0",121.007759094238,0,0
"tiantan_aq#1",66.2133026123047,0,0
"tiantan_aq#2",109.253868103027,0,0
"tiantan_aq#3",98.3389129638672,0,0
"tiantan_aq#4",68.1870574951172,0,0
"tiantan_aq#5",94.1404342651367,0,0
"tiantan_aq#6",16.9102897644043,0,0
"tiantan_aq#7",79.9707107543945,0,0
"tiantan_aq#8",40.5685043334961,0,0
"tiantan_aq#9",25.2179908752441,0,0
"tiantan_aq#10",71.9888610839844,0,0
"tiantan_aq#11",35.8635482788086,0,0
"tiantan_aq#12",142.841293334961,0,0
"tiantan_aq#13",104.879806518555,0,0
"tiantan_aq#14",90.7719039916992,0,0
"tiantan_aq#15",198.326416015625,0,0
"tiantan_aq#16",215.720596313477,0,0
"tiantan_aq#17",331.919494628906,0,0
"tiantan_aq#18",67.3224258422852,0,0
"tiantan_aq#19",80.1341781616211,0,0
"tiantan_aq#20",30.952075958252,0,0
"tiantan_aq#21",30.3736705780029,0,0
"tiantan_aq#22",69.1420745849609,0,0
"tiantan_aq#23",66.0470886230469,0,0
"tiantan_aq#24",69.388557434082,0,0
"tiantan_aq#25",79.1081237792969,0,0
"tiantan_aq#26",120.050384521484,0,0
